id,age,dist,income,gender,marital_status,target
512,71,2.558396146,"50-59,999",M,S,0
513,85,2.827056493,"90-99,999",M,M,1
514,72,8.7103598,"10-19,999",M,M,1
515,90,0.604556315,"60-69,999",F,M,1
516,79,1.695562498,"60-69,999",M,M,1
517,89,22.92773686,"40-49,999",F,M,1
518,81,4.059900531,"90-99,999",M,M,1
519,69,14.44084203,"70-79,999",M,M,1
520,80,1.074382434,"10-19,999",M,M,1
521,81,6.772217376,"90-99,999",M,M,0
522,77,25.77856817,"50-59,999",F,M,0
523,69,4.824987395,"30-39,999",M,S,0
524,78,7.682826727,"20-29,999",M,M,0
525,84,16.90681806,"30-39,999",F,M,0
526,83,12.69959689,"60-69,999",M,M,0
527,72,12.79809607,"175 - 199,999",M,S,0
528,80,3.598910793,"100-149,999",F,M,0
529,65,4.722609217,"100-149,999",F,S,0
530,92,15.4919502,"90-99,999",F,M,0
531,87,9.531998941,"20-29,999",M,M,0
532,78,5.965345959,"10-19,999",F,S,0
533,86,12.91206449,"50-59,999",M,M,0
534,69,12.31656709,Under $10k,F,S,0
535,79,9.521433459,"90-99,999",F,M,0
536,86,7.080257295,"10-19,999",M,S,0
537,83,8.900393639,"40-49,999",M,M,0
538,66,19.41537449,"60-69,999",F,M,0
539,68,7.336200604,250k+,F,M,0
540,89,14.22212895,"90-99,999",M,M,0
541,67,3.606549727,"40-49,999",F,M,0
542,84,4.081737597,"50-59,999",M,S,0
543,74,11.84538165,"10-19,999",F,M,1
544,78,6.025831397,"20-29,999",M,M,1
545,86,0.997788163,"10-19,999",F,S,1
546,66,4.401243159,"90-99,999",M,M,1
547,94,28.61530454,"30-39,999",F,S,1
548,91,7.757317522,Under $10k,F,S,1
549,73,6.67840519,"90-99,999",F,M,1
550,66,8.329199058,"90-99,999",M,M,1
551,69,3.857252977,"90-99,999",M,M,1
552,81,8.425776211,"50-59,999",M,S,1
553,76,15.88156443,"20-29,999",M,S,1
554,90,4.662458474,"20-29,999",F,S,0
555,73,3.915335356,"100-149,999",F,M,0
556,77,5.855818645,"100-149,999",F,S,0
557,94,4.256378081,"50-59,999",M,M,0
558,88,17.08106164,"100-149,999",F,M,0
559,70,4.724149804,250k+,M,M,0
560,84,4.586682419,"10-19,999",M,M,0
561,68,24.80818902,"10-19,999",F,S,0
562,68,1.251252203,"40-49,999",F,,0
563,79,5.234507183,"90-99,999",F,M,0
564,81,5.343216378,"100-149,999",F,M,0
565,72,5.070079169,"70-79,999",F,S,0
566,66,3.062719728,"30-39,999",F,S,0
567,75,10.7651791,"20-29,999",M,S,0
568,69,3.183075489,"60-69,999",M,M,0
569,73,3.628534183,"90-99,999",F,M,0
570,67,4.82332774,"90-99,999",F,M,0
571,77,29.8677717,"90-99,999",F,,0
572,70,2.281975067,,F,,0
573,79,28.10488631,"40-49,999",M,M,0
574,89,3.006895859,"30-39,999",F,M,0
575,68,9.390609938,,M,S,0
576,72,6.420999108,"40-49,999",M,M,0
577,74,7.93033646,"10-19,999",M,M,0
578,69,8.661176946,"150 - 174,999",F,M,0
579,77,23.42622958,"40-49,999",M,M,0
580,88,3.460950341,"50-59,999",M,S,0
581,66,5.839610352,,M,M,0
582,89,1.468598862,"175 - 199,999",F,S,0
583,66,6.99139222,"100-149,999",M,M,1
584,82,4.903116132,"10-19,999",F,M,1
585,75,12.8639344,"20-29,999",F,S,1
586,80,16.70056278,"30-39,999",M,M,1
587,74,24.38737448,"40-49,999",F,S,1
588,74,7.388479741,"60-69,999",F,M,1
589,76,2.386023809,"175 - 199,999",M,M,0
590,66,15.73316205,"150 - 174,999",F,M,0
591,82,17.69444434,"70-79,999",M,M,0
592,70,10.76654572,"50-59,999",F,M,0
593,69,6.383730311,250k+,M,M,0
594,75,5.154517261,"90-99,999",M,M,0
595,75,6.443615872,"100-149,999",F,S,0
596,75,22.72632677,"10-19,999",F,M,0
597,89,17.71897158,"10-19,999",F,M,0
598,69,9.625516226,"200 - 249,999",M,M,0
599,78,6.271783619,"70-79,999",M,,0
600,76,6.96791894,"10-19,999",F,M,0
601,91,2.932790486,"100-149,999",M,M,0
602,71,3.84026495,250k+,M,M,0
603,70,2.959988279,"40-49,999",M,M,0
604,74,10.16825132,"90-99,999",M,M,0
605,70,1.851920914,"60-69,999",M,M,0
606,81,6.280716551,"100-149,999",M,M,0
607,90,2.482021042,"100-149,999",M,M,0
608,93,4.206751241,"90-99,999",M,M,0
609,86,3.105276861,"40-49,999",M,S,0
610,70,1.091215137,"50-59,999",M,M,0
611,88,2.975911534,"175 - 199,999",M,M,0
612,89,19.7232403,"20-29,999",M,S,1
613,87,17.36094917,"10-19,999",F,S,1
